Texto,classification_spanish
"Estaba yo viendo algo de un periodista muy bueno que decía que, en el caso de una mentira, de una manipulación, de un reportaje de El País que le agregan una frase diciendo que yo estoy preparando el terreno para llevar a cabo una reforma constitucional y reelegirme, y que el mismo periodista de El País aclara ‘yo no mandé eso en mi nota, me lo insertaron’, entonces dice este amigo periodista que el daño ya está hecho. Porque así era antes, que mienten, difaman y ya cuando viene la aclaración pues ya nadie se ocupa de la aclaración, ya el golpe ya lo dieron. Es lo que siempre sostenemos, que la calumnia, cuando no mancha, tizna; o calumnia, porque que algo queda.",opinion
"Pues fíjense que eso ya no es del todo exacto, ese muy buen periodista recurre a eso, pero yo sostengo que ese truco no funciona, porque ahora sí hay posibilidad de réplica, entonces puede uno estar replicando y replicando y replicando llamándoles mentirosos y manipuladores una, dos, tres, cuatro, cinco, 10, 50, mil veces, y está uno recordando y recordando y recordando. Antes no había posibilidad, entonces sí funcionaba de que pegaban el golpe y ya cuando se aclaraba en la página 29 de la sección B del periódico, Las cartas del lector, ¿se acuerdan?, ya habían dañado; pero ahora no, ahora es de botepronto y puede uno estar repitiendo, y no sólo el que tiene una tribuna importante en un periódico, en un noticiero de radio o televisión o en foro como este, sino todos los ciudadanos que tienen un teléfono, ahí en las redes, y una vez y dos veces y tres veces y cuatro veces.",opinion
"Yo recuerdo al maestro Luis Javier Garrido, doctor en Ciencia Política, extraordinario, fue el que hizo —no hay otro— el mejor libro sobre la fundación y todo el proceso de transformación del PRI, fue su tesis de doctorado en la Sorbona, en Paris, Francia. Todos sus artículos, claro, una vez por semana, eran contra Salinas y contra el PRI de aquel tiempo. Insistía, insistía, pero, bueno, una semana; ahora no, ahora puede ser constantemente.",opinion
"Le decían: ‘el Antipristo’. Extraordinario, un gran maestro de la Facultad de Ciencias Políticas, muy bueno, cuando nadie de los intelectuales orgánicos cuestionaba a Salinas, Luis Javier, que dondequiera que esté sepa que lo recordamos con mucho cariño, que fue de los precursores de este movimiento.",opinion
"Porque querían que se aceptara la corrupción como algo normal, un político llegó a decir que la corrupción era parte de la cultura del pueblo de México, y se equivocó rotunda, completamente; además, es ofensivo, nuestro pueblo es honesto, la mayor riqueza de México es su honestidad.",opinion
"Entonces, es muy importante que se conozca todo esto para que sea aleccionador y que no se repita. Justicia es prevenir, justicia es la no repetición.",opinion
"Que no estén pensando —sobre todo los jóvenes, y eso es lo más importante, las enseñanzas a las nuevas generaciones— que el poder es fantochería, es corrupción, es prepotencia, que es ganar dinero a costa de lo que sea, es vivir en mansiones, tener yates, aviones privados, no. La política es una actividad de elevado nivel espiritual, ético, es un imperativo ético.",opinion
" No creo, no. Si hay diálogo y si se le da la razón a quien la tiene, no tiene por qué haber problema.",opinion
" Pues eso lo tienen que resolver allá y hay vías legales, y está atendiéndolo la gobernadora de Quintana Roo, y le tenemos, repito, confianza a Mara Lezama.",opinion
"Entonces, ya se está resolviendo este caso. Me llamó mucho la atención que hubo demasiada difusión.",opinion
" Sí, sí, es que son intereses y cuando está de por medio el dinero, cuando se trata de los billullos, pues siempre se magnifican las cosas, y si a eso se le agrega que quisieran que en México hubiese problemas todo el tiempo… Pero no, ya les he mandado a decir a mis adversarios conservadores que se serenen y que ya no son los tiempos de antes, que de repente la campaña en los medios, inflan un problema, que los hay todos los días en todo el país, pero hay algunos que de repente se convierten en trending topics.",opinion
"Pues lo de Gertz. ¿No fue trending topic, una mentira? Entonces, ya hay que cambiar.",opinion
"Pero, bueno, qué bien que se tocan los temas porque se aclaran aquí, porque imagínense si yo hubiese visto a la gobernadora preocupada o pidiéndome apoyo.",opinion
" Sí, sí, hubo un incidente de una turista estadounidense que la bajaron de un carro, o sea, sí, lamentable todo eso y reprobable, pero es mucho más la propaganda en contra que lo que está sucediendo. Están exagerando un poquito, un poquito, poquito, poquito.",opinion
"¿Antes les dejaban a ustedes preguntarle al presidente? Era un… ¿Cuántas conferencias de prensa daban los anteriores presidentes?, ahí se los dejo de tarea. Entonces, esa es la diferencia, nosotros tenemos todos los días, todos los días este diálogo circular.",opinion
" No, no, tampoco, no, no. Es que como hay dos partes, ¿qué era lo más usual ante, y sigue siendo?, acudir a los medios, ¿no?, si se tenía influencia en los medios o incluso se pagaba para decir ‘yo soy el bueno, el otro es el malo’, el maniqueísmo de siempre, cuando hay intereses, eso lo vemos en todas las discrepancias que se presentan.",opinion
"Y antes los medios ‘ya salió en el periódico, ya salió en la telera, ya lo dijo este conductor famoso, ya lo denunció el comisionado de la ONU, ya lo denunciaron los de Artículo 19’. Pues, sí, pues si somos libres, pero se les olvida que la gente está informada en Cancún, en Quintana Roo, en todo el país.",opinion
"¿Ustedes creen que una gente de Quintana Roo o cualquier mexicano de luz en la frente va a creerle a una diputada, senadora del conservadurismo que dijo que con el Tren Maya el mar Caribe iba a cambiar de color, que ya no iba a tener el azul turquesa? No, se quedaron en el almanaque, ya esto cambió.",opinion
"Ayer un compañero de ustedes hizo el planteamiento acerca de la resolución de este juez de dejar en libertad al que le tiró ácido en la cara a la saxofonista. También ayer hablamos de que no había salido de la cárcel, no ha salido, porque se está preparando un proceso, se está atendiendo, y que mañana íbamos a informarles, mañana jueves, en eso acordamos, eso acordamos, y va a estar mañana Rosa Icela Rodríguez. Que lo estamos viendo, pues, lo estamos atendiendo.",opinion
"Tenemos que defender nuestra soberanía, tenemos que defender el petróleo, tenemos que defender la industria eléctrica.",opinion
"Ofrezco disculpa por anticipado a los conservadores, que no les va a gustar, pero que ojalá y comprendan que para nosotros sí es muy importante el 18 de marzo, como el 21 de marzo. A ellos estas fechas les incomodan mucho. ¿Cómo no les van a incomodar al conservadurismo el 18 de marzo, si ellos estuvieron en contra de la expropiación petrolera, ellos estuvieron a favor de las empresas extranjeras, y siguen estando? Pero pues no somos iguales, los respetamos mucho, los respetamos y los vamos a seguir respetando, pero a ellos no les gusta celebrar la expropiación petrolera ni el nacimiento del mejor presidente de México, Benito Juárez.",opinion
"Y si uno ve a Sheridan, es lo mismo. Claro, hay una gran diferencia entre don Justo Sierra y Sheridan, es como querer comparar a Francisco Bulnes, aunque era un energúmeno, conservador, con otro ingeniero Enrique Krauze, ¿no? Bulnes era conservador y todo, pero genial, genial, el mejor de todos los conservadores del siglo XIX. Yo creo que el padre del pensamiento conservador del siglo XIX en México fue Lucas Alamán, y en el XX pues cuesta trabajo encontrar uno así.",opinion
" No sabía eso, pero, digo, la democracia es que la elección sea limpia y libre, eso es la democracia, y eso es lo que tienen que estar ellos procurando.",opinion
"Es como la educación. ¿Qué se necesita para la educación en lo básico? Un maestro que quiera enseñar y un alumno que quiera aprender, eso es lo básico. Lo demás es importante, pero no deja de ser accesorio.",opinion
"Pero estos… No nos vamos a entender con ellos, o sea, tienen una formación completamente diferente, les molesta mucho lo nuestro, no están a favor de la transformación, y qué bueno porque esto demuestra de que hay democracia, no hay pensamiento único.",opinion
"Lo que impidieron fue una reforma constitucional. Se quedaron molestos porque impiden una reforma constitucional para que no cueste 25 mil millones de pesos una elección, que se puede hacer con la mitad del dinero.",opinion
"Y el ejemplo está aquí, es predicar con el ejemplo. Cuando llegamos nosotros Presidencia ejercía —y búsquenlo en la información oficial, que es pública— tres mil 600 millones de pesos, y nosotros ejercimos el año pasado 500 millones. ¿Y qué? ¿Cómo es que dicen que le va a pasar al INE? ¿Se va a qué? ¿Colapsar?",opinion
 Sí. ¿Se colapsó la Presidencia? ¿Se colapsó la Presidencia? De tres mil 600 a 500. ¿Se colapsó la Presidencia? No.,opinion
"Pero ellos ganaron, se quedaron con ese presupuesto, los partidos también con muchísimo dinero. En vez de 500 diputados, estábamos proponiendo 300, quitar a los plurinominales; ellos ganaron porque ‘el INE no se toca’, y van a haber 500.",opinion
"Y ellos ganaron también porque nosotros estábamos planteando que sólo existiera un instituto nacional que organizara todas las elecciones, no 32 institutos; ganaron, porque ‘el INE no se toca’.",opinion
"Y lo único que se logró es que se reduzcan el sueldo y eso los lleva a presentar una controversia constitucional. Nada, nada, nada.",opinion
"Me decían que iban a hacer una marcha, que… No, exageran, sólo que usen esa marcha, pero para defender a García Luna porque en una de esas ese es el propósito. Pero ¿qué le van a defender al INE, si ganaron, si ‘el INE no se toca’? A lo mejor Claudio y los machuchones están pensando en eso, en hacer una marcha para defender a García Luna y sacar ahora como excusa de que el INE no se toca. Ya chole. Mejor que se quiten ya por completo la máscara y digan: ‘Sí, García Luna es inocente, ya, y lo tenemos que defender porque es de nosotros’",opinion
"Fue el secretario de Seguridad Pública con Calderón. ¿Y quién apoyó a Calderón en el fraude? Pues los mismos, los abajofirmantes, son los mismos, y hay constancia.",opinion
"Y si hubo fraude o no hubo fraude, bueno, lo aceptó Fox. ¿Qué más pruebas? Primero, diciendo últimamente de que se había equivocado, de que estaba arrepentido de no haberme desaforado, de haber dado marcha atrás en el desafuero. Antes ya había dicho que claro que había cargado los dados, que yo era un peligro para México, así, abiertamente. Están los testimonios sobre el fraude y son los mismos que están defendiendo.",opinion
"Y ahora los que votaron por Calderón y los que votaron por Fox… ¿Qué culpa tengo yo? O sea, ¿por qué no asumen que se equivocaron, que los engañaron?, ¿y por qué en vez de reclamarles a ellos se lanzan contra mí? Ahora sí que como diría el mismo clásico, ‘¿y yo por qué?’",opinion
"¿Quién los manda? Es de sabios cambiar de opinión. Además, tener capacidad para rectificar, decir: ‘Me equivoqué, me engañaron’. No, no, no. ‘Andrés Manuel es comunista, es populista’.",opinion
" Ah. ‘AMLO recurre…’ ‘Es un secreto a voces. AMLO a la brujería, santería, magia negra y rituales de muerte para llegar y acumular poder. Ya tuvo lo que quiso, ahora va de regreso. Eso se llama karma o justicia divina’.",opinion
"He estado en rituales, dondequiera que voy me limpian, y para mí es un orgullo porque es parte de nuestra cultura, de nuestras tradiciones, de nuestras costumbres, es el México profundo, pero, bueno, Pedro Ferriz.",opinion
"Pero hay otra de Pedro Ferriz. Vamos, ahora sí que vamos a hacer así, de extremo a extremo, vámonos al condón. Lo sacó José Hernández, de La Jornada, caricaturista. Me voy a vengar de Hernández, voy a decir que es uno de los mejores caricaturistas de México.",opinion
"Pero es para los jóvenes también, y para todos. Luego se enojan porque tenían de ídolo a Pedro Ferriz y de repente ven todo esto y dicen: ‘Pues no era yo tan inteligente, ni porque estudie maestría y doctorado hasta en el extranjero, yo siguiendo a Pedro Ferriz y miren’.",opinion
" Pues no me meto en eso, pero sí vamos a cuidar de estar informando porque, como se decía en la época de la Colonia, obedecer y callar, obedecer y callar es el deber del vasallo, y durante mucho tiempo eso hicieron los medios, obedecer y callar como vasallos.",opinion
"Entonces, ya se terminó esa etapa, entonces hay que informar, nada de callar, hay que informar, por eso vamos a estar pasando lo que está sucediendo, sin buscar actuar de manera tendenciosa, sino lo que opinan las partes, pero que se conozca, que la gente tenga información. Entonces, por eso lo hacemos.",opinion
"Para los jóvenes, cuando estaba en su apogeo Ferriz de Con, trabajaban con él Carmen Aristegui, Javier Solórzano. Y él era el más duro, el más derechoso, y Carmen y Javier Solórzano aparecían como más objetivos, ese era el juego. Pasa el tiempo, pues este sigue haciendo lo mismo, nada más que no lo notaba la gente, y Javier Solórzano se une a… ¿Cómo se llamaba el argentino?",opinion
" El Independiente, sí. Independiente, como los movimientos de los partidos, independientes del pueblo, no del poder.",opinion
"Entonces, ahí muy lamentable, porque él tenía una postura pues seria, y se mete con Ahumada y sale mal, pues, aun cuando sigue haciendo periodismo y no es lo mismo de Pedro Ferriz, también.",opinion
"Y Carmen se independiza, esa completamente, y se convierte en la paladina de la libertad y engaña a muchísima gente, muchos, supuestamente con esa postura plural, independiente, de la sociedad civil, como el Reforma, nada más que un poquito más refinado el estilo.",opinion
"Ya ven. ¿Cuál es el lema del Reforma, que el otro día lo estaba yo viendo? Es que hay algo, que es información objetiva o profesional, o algo así.",opinion
" Esa es, esa es, periodismo independiente, independiente del pueblo, dependiente del poder y sobre todo del poder económico, del diablo y de otros traviesos, pero, en fin, eso es otra cosa.",opinion
" Pues lo que se tiene que procurar ahí es darles celeridad a los procesos. Es un problema grave en México, de que son juicios que tardan mucho, no se garantiza de que se debe de impartir justicia rápida, pronta, expedita, no se garantiza en nuestro país eso, lamentablemente.",opinion
" Sí, es lo mismo, es igual. Entonces, hay que seguir denunciando y exigiendo que se resuelvan todos estos casos.",opinion
" No, yo no voy a promover eso, no voy a promover eso, nunca estuve de acuerdo con eso, no creo que eso ayude.",opinion
"Entonces, no lo veo necesario, lo considero que es una duplicidad de funciones, es seguir agrandando el aparato burocrático, que el presupuesto en vez de llegarle a la gente se quede en el gobierno, como era antes, el gobierno estaba ensimismado, la mayor parte del presupuesto era para mantener al gobierno, era un gobierno mantenido, corrupto y bueno para nada.",opinion
" Es que si fuese un problema de leyes no habría problemas. No hay ninguna ley que diga que está permitido robar, y roban",opinion
"Las reformas estructurales, la reforma fiscal, la reforma energética, la reforma educativa, porque eso era lo que les importaba.",opinion
"Yo siempre pongo el ejemplo de Dinamarca. Es un país pequeño, no tiene la misma población que tenemos nosotros, pero no tiene corrupción, no hay corrupción. Es más, no se entiende cuando uno habla de corrupción. Pero como no hay corrupción en ese país, no hay pobreza, y no hay violencia, y tienen establecido lo que se llama Estado de bienestar, porque no hay corrupción. Entonces, tiene que ser un ideal.",opinion
"Nos pueden decir, o antes pensábamos: ¿cuál es el principal problema de México?, el desempleo, la inseguridad, la falta de educación, la salud, los bajos salarios. Sí, sí, sí, todo eso, pero lo principal, lo que genera o produce todo eso es la corrupción.",opinion
"Porque nuestro país tiene muchísimos recursos naturales, bueno, tiene tantos recursos naturales que lo han saqueado por siglos y todavía tenemos recursos para sacar adelante a México, como se está haciendo. Además, un pueblo bueno, un pueblo trabajador.",opinion
"Se necesitan principios, se necesitan ideales, eso es lo fundamental para tener una sociedad mejor. Y sí se puede porque este país tiene raíces profundas, tiene una cultura, o tenemos culturas de raíces profundas, milenarias, donde estoy seguro que no había esa vocación o esa ambición a lo material porque, si no, tendríamos el problema de la corrupción en toda la sociedad, y no, no, la tenemos arriba en las élites.",opinion
"Pues el gobierno, así era. Entonces, si se tiene un gobierno que no viola los derechos humanos, ¿para que sirven —o ya no tienen la misma relevancia— las sociedades, organizaciones de derechos humanos?",opinion
"¿Quiénes eran aquí los que torturaban, los que masacraban, los que se aliaban a la delincuencia?",opinion
"Era el mismo gobierno, la protección se recibía del gobierno, era el que violaba los derechos humanos; ahora no, ahora no permitimos.",opinion
"Hacer una modificación para que el que informe pueda tener un beneficio de reducción de pena, y protegerlo. Porque son asuntos de Estado, son asuntos muy graves, y sí necesitamos saber.",opinion
" Pues en eso estamos, porque sí es algo importantísimo. Pero se tiene al que disparó, pero ¿y por qué lo hizo?, ¿cuánto le pagaron?, ¿quién ordenó?, ¿cuál fue la motivación?, porque esto es enrarecer la vida pública. Entonces, todo esto que irse mejorando.",opinion
"Los estadounidenses tienen ese sistema, que no está mal, de que tienen testigos protegidos, colaboradores; entonces, quitamos penas, pero siempre y cuando sea válido también, pero eso uno lo puede saber, se puede llegar a eso.",opinion
" No, no le traté el tema, pero él ya sabe cuál es mi postura: yo creo que es un exceso, es un acto arbitrario, es un acto de prepotencia el bloquear a Cuba, es una medida inhumana, medieval, porque no se afecta sólo al gobierno de Cuba.",opinion
"Imagínense, bloquear a un país para que su pueblo de ese país se le rebele a los gobernantes por ese bloqueo, o sea, por la falta de alimentos, de medicinas, de posibilidades de desarrollo económico, pues es una infamia, es algo canallesco, que eso no tiene nada que ver con nuestros tiempos y es una violación fragrante a los derechos humanos, o sea, eso no debe de existir. Nosotros lo condenamos, ese bloqueo, es una medida de arrogancia, de prepotencia.",opinion
"Entonces, no hace falta decírselo, ya lo hemos planteado siempre. Además, ya debe de cambiar esa política, eso sí se lo dijimos, de que ya no es el tiempo de la política de América para los americanos, de la doctrina Monroe, no. Se tiene que respetar la libertad, la independencia de los países.",opinion
"Y él es bastante receptivo, nada más que tiene una oposición de un grupo conservador. Y fíjense lo que son las cosas, los más impulsadores, promotores de esta política de bloqueo son cubanos, legisladores cubanos, políticos cubanos, que se han dedicado a medrar con esa postura política —o politiquera, mejor dicho— y convenenciera, porque a ellos con esa política inhumana, supuestamente en defensa de las libertades, les va rebién: tienen diputados, tienen senadores, y acumulan también mucho dinero.",opinion
"Pero yo les pregunto a ellos y al gobierno estadounidense, con todo respeto: ¿qué culpa tiene el pueblo?, ¿por qué tiene que sufrir el pueblo de Cuba por una diferencia política, aunque sea legítima?, ¿por qué vengarse con el pueblo?, ¿eso es humano?, ¿eso tiene que ver con las libertades, con la justicia, con el amor al prójimo? O sea, ¿eso es lo que nos dicen en los templos?, ¿eso es lo que dice la Biblia, que hay que oprimir, bloquear, dejar sin opciones a la gente, sin alternativas?",opinion
"El presidente Biden es muy receptivo, él habla siempre de un pie de igualdad, eso es lo que nosotros quisiéramos.",opinion
"Y es también un escarmiento, un acto de venganza. ¿Qué tiene que ver eso con la libertad? ¿Con la libertad de expresión?",opinion
"Y siempre digo y lo voy a seguir diciendo, la Estatua de La Libertad no puede quedarse nada más como un símbolo vacío.",opinion
"Y lo mejor en este caso es que se convoque a elecciones, que sea el pueblo el que decida, que se acuda al método democrático y que se libere al presidente que injustamente está encarcelado.",opinion
" Nada más lo del reporte, para terminar con la sección, de lo de Nueva York.",opinion
" Sí, pero hay algo que tienen que tomar en cuenta: todo lo que se necesita para hacer justicia y proteger derechos humanos no tiene límite en el presupuesto.",opinion
"Y lo más importante de este gobierno es hacer justicia y lo estamos haciendo. Por eso no pueden los conservadores con nosotros, porque ya ellos ya mostraron lo que son, sólo algunos, no pocos, no son algunos, son bastantes, insensatos que quiere que continúe el mismo sistema de corrupción, de privilegios, de beneficios para minorías, de racismo, de clasismo, todo un grupo.",opinion
"Que además está en su derecho porque, si no se puede tener una sociedad perfecta, sí una sociedad mejor. Y además no debemos de aspirar a que todos pensemos igual, porque eso sería totalitarismo. La democracia es diversidad, es pluralidad.",opinion
"Es un asunto que tiene que ver con nuestras convicciones, nosotros no somos farsantes y actuamos con honestidad y con humanismo.",opinion
"Y cuando tú hablas de la mamá de ‘el Chapo’, pues esos son los argumentos, te lo digo con todo respeto, de nuestros adversarios, porque me bajé a saludarla. Ya con ese hecho tratan de igualarme, ¿no?",opinion
"Pero me sales con lo de la mamá de ‘el Chapo’, pues eso es lo que dice Claudio X. González, ¿no?, o Ciro Gómez Leyva o Joaquín López-Dóriga o Loret de Mola, o todos los que son financiados por gobiernos extranjeros, las llamadas organizaciones no gubernamentales, las organizaciones de la sociedad civil que reciben dinero del extranjero porque están en contra nuestra.",opinion
"Es lo de la ONU, de la OEA. ¿Dónde estaban? ¿Dónde están ahora con lo que está pasando en Perú? ¿Dónde están? ¿Dónde están los legisladores de la Unión Europea? Ya basta de estar simulando, de estar actuando de manera falsaria, ya no queremos farsa.",opinion
"Bueno, ¿dónde están los defensores de derechos humanos en el caso de Assange? Estos del Artículo 19, no dicen nada porque los van a regañar en el extranjero, les van a cortar el apoyo.",opinion
"Ya deberíamos de pensar si le seguimos llamando Suprema Corte de Justicia, si acaso del derecho, porque todo esto se protege o se usa como excusa en todo esto que estamos viendo, la liberación de presuntos delincuentes, se utiliza como excusa el derecho.",opinion
" Lo que sea, o sea, eso va a depender de lo que se siga haciendo en busca de la justicia.",opinion
" Pues que sean gentes decentes, honrados, íntegros, verdaderamente independientes, verdaderamente demócratas, que no sean como los que están.",opinion
" Sí, cómo no, porque hay gente muy buena, gente recta, gente íntegra. Es que los escogían los oligarcas para que actuaran como sus empleados, pero hay gente verdaderamente libre, demócratas auténticos, incorruptibles, honestos.",opinion
"Pues que vayan a engañar a aspirantes a fifí o a gente que de plano está cerrada, que, aunque se den razones, ellos no quieren nada con la transformación, no quieren nada con nosotros.",opinion
" Sí. Ojalá y se escoja a gente buena, íntegra, honesta, no como los que están. O sea, estoy seguro de que van a ser mejores.",opinion
" A la democracia, que sean afines a la libertad, a la democracia, a la honestidad, porque los que están no son honestos.",opinion
" Ah, sí, sí, sí, claro, porque eso es lo que buscamos y deseamos eso, que sea gente incorruptible.",opinion
" Sí, sí, pues fue lo que dijo, con todo respeto, el presidente Peña, que la corrupción era parte de la cultura del pueblo de México. Pues es parecido, pero es un pensamiento.",opinion
"Y volvemos a lo mismo, no ven, no oyen, no hablan, son como floreros, están como de adorno. Esas son instituciones que requieren una renovación tajante en cuanto a sus funciones.",opinion
" Pues sí, porque pues están pensando que son eso van a resolver el problema, pero mientras no haya democracia auténtica… Y le tengo que agregar lo de democracia verdadera porque utilizan mucho la palabra ‘democracia’ de manera demagógica, hay democracia cuando les conviene.",opinion
"Hoy ordenamos una investigación para ver las edades de los detenidos, porque tenemos la hipótesis, todavía no hemos comprobado, de que ya hay menos participación de jóvenes y, eso nosotros lo vinculamos con los programas de atención a los jóvenes, que no habían antes.",opinion
"Esto significa en términos reales, quitando inflación, 5.5. Si le aumentáramos inflación, estaríamos hablando de un incremento nominal como del tres por ciento. Entonces este es un buen indicador, para los que hablan, los expertos de que ese está deteniendo el crecimiento, ¿no?",opinion
¿Y no tienes lo del Seguro y lo del peso? El peso está resistiendo y no sube el dólar con relación al peso.,opinion
"Y ya vámonos a desayunar, nada más con eso, también desayunen sin enojarse mucho los conservadores, 18.83.",opinion
"Les decía yo que lo más importante de todo, de todo, de todo, es la justa distribución de la riqueza, los técnicos suavizan esto diciendo: ‘La justa distribución del ingreso’. No, lo más importante es la justa distribución de la riqueza, es decir, luchar en contra de la desigualdad.",opinion
" No quiero equivocarme, como se equivocan los expertos, pero va a bajar, eso sí lo aseguro, en eso sí.",opinion
" Muy poco tiempo, ya para los próximos datos del Inegi ya se va a ver. Pronto, muy pronto, para que no vayan a decir los expertos de los periódicos que me equivoqué. Hasta ahora no me equivocado, ¿sí?, entonces no me quiero equivocar, mejor vamos a ser prudentes, hay que actuar de manera precavida, porque andan buscando a ver qué digo y que nos equivoquemos.",opinion
"Pero vamos bien, vamos bastante bien, y así lo sabe la gente ―el primer aviso―, pero vamos tan bien que les voy a presumir, ofrezco disculpas, que sí voy a tirar aceite ahora. Miren cómo estamos en la encuesta de ayer, esto es con relación al mundo.",opinion
"Si me dicen: ‘A ver, contéstenos, usted, que habla lento, que no habla de corrido, en un minuto, parado en un solo pie —que eso sí lo puedo hacer porque todavía estoy jugando béisbol—; contéstenos cuál es el plan, qué significa la nueva transformación, qué significa el humanismo mexicano’. Acabar con la corrupción, que no haya lujos en el gobierno y todo lo que se ahorre que sea en beneficio del pueblo y en especial de los más pobres. He dicho.",opinion
"Por cierto, ganó Guasave anoche. Esto no se acaba hasta que se acaba, entonces van a jugar dos juegos a Mochis. Está la serie final, tres Mochis, dos Guasave. Y tocan los últimos dos juegos en Mochis. O sea que, si de los dos, gana uno Mochis, ya; pero si de los dos hace la hazaña, que así es el béisbol, todo es posible, Algodoneros gana los dos, pues entonces van a ser ellos los campeones de la Liga del Pacífico de Béisbol.",opinion
"Les deseo lo mejor a los dos equipos y que les vaya muy bien, aunque yo estoy a favor de Guasave.",opinion
"Y posiblemente tengamos otros videos, un video más sobre obras y ya terminamos, y preguntas y respuestas en abundancia. No tanto, pero sí.",opinion
" Ahora sí vamos a las preguntas. Tú, ustedes tres, compañeras mujeres. Faltan dos. Ya, con eso nos quedamos.",opinion
"Si no hay corrupción, alcanza el presupuesto. La corrupción, como siempre lo he dicho, no hay que combatirla sólo por razones de índole moral, que eso es importante, también hay que combatirla para ahorra y liberar fondos al desarrollo.",opinion
"Esas son las tres hipótesis, pero ¿para qué nos vamos a adelantar si hoy continúa el juicio, todos estos días?",opinion
"Hablé ahora de departamentos de Miami, en Florida. Ahora sí que como diría mi paisano, el siempre recordado maestro Chico Che: ‘¿Quién pompó?’ ‘¿Quién pompó?",opinion
"Entonces, sí es interesante, estamos viviendo tiempos interesantes. En Asia cuando nacen los niños, así como cuando nosotros decimos que les vaya bien y se les dan bendiciones, allá les dicen que ojalá y les toquen vivir tiempos interesantes. De modo que nosotros no podemos quejarnos, estamos viviendo tiempos interesantes.",opinion
"También en las redes hay algo muy importante sobre esto, que siempre lo hemos sostenido: no se debe de confundir el nivel académico con la cultura, hay gentes con doctorado, posdoctorado, científicos muy ignorantes, muy ignorantes.",opinion
"Y que no ande diciendo que es por otras cosas, no; que él no caiga en la autocomplacencia y que sea capaz de rectificar, que le va a ayudar mucho.",opinion
"Por eso, cuando dicen el plan B, si la Corte, que es hasta posible, rechazara la ley electoral, la verdad, la verdad, no pasaría nada, o sea, sería una manchita más al tigre porque estarían avalando salarios estratosféricos para altos funcionarios públicos; pero los mismos ministros están también violando la Constitución, porque ganan mucho más que lo que gana el presidente de la República.",opinion
"Entonces, no se pudo, que era lo que queríamos, que no se gastaran 25, 28 mil millones de pesos en elecciones, porque es donde cuestan más las elecciones en el mundo, en México, son carísimas.",opinion
"Que, en vez de tener 500 diputados, se contara con 300 y que se suprimieran los diputados plurinominales. ¿En qué afectaba? Pues llegaron a decir que se les iba a quitar a la gente la credencial de elector. Y ahí estaban los que son muy conservadores, que no nos ven con buenos ojos y que son muy susceptibles de manipulación con sus letreros fuera de sus casas: ‘El INE no se toca’.",opinion
"Vamos cuando menos a que no se gaste tanto, que se reduzcan los sueldos; ah, también van contra eso.",opinion
" No pasa nada, el pueblo es muy responsable, es mayor edad. El problema de México es la llamada clase política que pertenece, que está al servicio de una oligarquía rapaz muy corrupta. Todos estos son achichinques de los que se sentían dueños de México y defienden estos intereses.",opinion
Pero miren lo que dice. Se lo vamos a dejar de tarea a la gente.,opinion
" No, regrésalo porque… Nada más para que vea la gente quiénes están ahí, los analistas. Pues él único que se salva ahí, bueno, según yo, es Sarmiento.",opinion
"Aquí Jesús dice que cada billete pesa un gramo. Los 10 mil billetes son 10 kilos y el señor dice que los 10 mil billetes pesan mil kilos, una tonelada. Se equivocó un poquito, no mucho. Pero es la desesperación. Y el otro sabio, ¿no? sabiondo de Sarmiento dice: ‘No caben’.",opinion
" Que ya nos habían ‘doblado’ y que ya saben cómo hacerle, dando a entender que los otros no.",opinion
"Yo ya escribí sobre este tema. Creo que tuve con el presidente Trump un solo encuentro en Washington muy productivo y hablamos como 11 o 12 veces por teléfono, y además de que seguramente por cuestiones de Estado esas llamadas las tienen grabadas, pues fueron llamadas muy importantes, respetuosas y en bien de los dos pueblos y de los dos países. Ya hasta las describí esas llamadas en mi último libro.",opinion
" Sí, sí, sí ningún problema, ya las di a conocer, están en mi libro A mitad del camino, hay unas muy buenas.",opinion
"Todavía no había terminado de plantearle eso, y ya ven que yo no hablo inglés, pero sí empecé a escuchar, ‘no, no, no’, y ya Marcelo que estaba ahí conmigo, estábamos en Oaxaca en una llamada, ya me tradujo: ‘No, no, no, si lo que quiero…’ Nunca habíamos hablado del muro porque se portó muy bien, muy respetuoso. Sólo en esa ocasión habló del muro, porque pues yo le planteé de que no cobraran comisiones. ‘No, no, no, si esas comisiones las vamos a usar’, o incluso creo que me dijo: ‘hasta van a aumentar y las vamos a usar para pagar el muro’, yo dije: Ya me salió mal la cosa.",opinion
"Y lo mismo cuando fuimos a la cena a Washington, el tema era no hablar del túnel, digo, de los muros, que era un tema, porque nosotros respetuosamente les mandamos a decir: Si sacan el tema del muro, va a haber respuesta, ¿y a qué vamos si, nos vamos a pelear?",opinion
"Entonces, el compromiso fue no hablar del muro y no se habló. Pero ya en la cena estaban los empresarios estadounidenses y mexicanos, ya que se había terminado todo, entra al salón de la cena y, así como es, grita: ‘¡Ya puedo hablar del muro!’ Y ya pues todo mundo se río. Pero eso fue en términos generales.",opinion
"Cosas buenas, quería catalogar a los narcotraficantes mexicanos como terroristas, y le dijimos que no aceptábamos porque eso iba a implicar vulnerar nuestra soberanía, y él aceptó, incluso hasta lo hizo público, que había hablado conmigo y que iba a cambiar su propuesta.",opinion
"Por eso, todo nuestro respeto al presidente de Estados Unidos. Y es muy buena la relación.",opinion
